data,casos_dengue,precipitacao,temperatura,umidade_ar,
1/1/2012,35,216,26,72,
2/1/2012,53,26,28,61,
3/1/2012,110,161,26,69,
4/1/2012,121,24,25,74,
5/1/2012,112,1,23,74,
6/1/2012,38,1,25,74,
7/1/2012,9,,22,73,
8/1/2012,4,26,21,68,
9/1/2012,4,95,23,65,
10/1/2012,6,60,25,64,
11/1/2012,2,94,24,73,
12/1/2012,13,80,29,64,
1/1/2013,39,122,26,73,
2/1/2013,70,86,28,67,
3/1/2013,143,210,26,74,
4/1/2013,201,52,23,73,
5/1/2013,25,20,22,73,
6/1/2013,12,36,22,75,
7/1/2013,12,90,20,75,
8/1/2013,0,2,21,69,
9/1/2013,2,23,23,66,
10/1/2013,3,81,24,67,
11/1/2013,5,182,25,68,
12/1/2013,1,225,26,72,
1/1/2014,9,103,29,60,
2/1/2014,3,43,29,55,
3/1/2014,1,138,27,66,
4/1/2014,4,144,24,73,
5/1/2014,4,64,22,73,
6/1/2014,2,45,21,75,
7/1/2014,0,88,20,74,
8/1/2014,0,24,21,69,
9/1/2014,3,65,23,64,
10/1/2014,2,44,24,62,
11/1/2014,5,85,25,64,
12/1/2014,0,81,28,60,
1/1/2015,3,154,29,59,
2/1/2015,6,165,28,66,
3/1/2015,4,243,26,71,
4/1/2015,37,64,25,70,
5/1/2015,26,62,22,72,
6/1/2015,20,73,21,72,
7/1/2015,5,12,22,70,
8/1/2015,2,,23,63,
9/1/2015,0,100,24,74,
10/1/2015,1,14,25,74,
11/1/2015,4,166,26,77,
12/1/2015,28,109,28,69,
1/1/2016,30,243,27,74,
2/1/2016,31,230,28,70,
3/1/2016,20,148,27,74,
4/1/2016,26,18,26,70,
5/1/2016,17,33,22,76,
6/1/2016,8,61,20,78,
7/1/2016,0,1,21,71,
8/1/2016,1,37,22,68,
9/1/2016,0,47,23,70,
10/1/2016,2,43,24,70,
11/1/2016,2,207,25,71,
12/1/2016,2,240,27,69,
1/1/2017,1,168,28,69,
2/1/2017,0,45,28,63,
3/1/2017,3,97,26,70,
4/1/2017,1,120,24,75,
5/1/2017,0,41,22,77,
6/1/2017,1,104,21,77,
7/1/2017,0,15,20,75,
8/1/2017,0,43,20,74,
9/1/2017,2,,23,64,
10/1/2017,1,32,25,66,
11/1/2017,3,186,25,67,
12/1/2017,5,,26,74,
1/1/2018,7,314,27,74,
2/1/2018,4,166,26,78,
3/1/2018,2,65,27,76,
4/1/2018,6,65,25,76,
5/1/2018,5,34,22,76,
6/1/2018,0,36,22,79,
7/1/2018,2,14,22,76,
8/1/2018,2,63,21,77,
9/1/2018,0,45,23,69,
10/1/2018,0,74,24,73,
11/1/2018,2,178,25,71,
12/1/2018,3,55,27,66,
1/1/2019,5,125,30,61,
2/1/2019,5,248,27,70,
3/1/2019,20,250,27,74,
4/1/2019,33,237,26,72,
5/1/2019,27,79,24,75,
6/1/2019,6,32,22,74,
7/1/2019,0,12,20,69,
8/1/2019,0,52,21,71,
9/1/2019,0,83,23,73,
10/1/2019,2,57,25,67,
11/1/2019,2,114,25,71,
12/1/2019,7,130,26,70,
1/1/2020,8,89,27,70,
2/1/2020,4,,26,77,
3/1/2020,3,,25,76,
4/1/2020,0,17,23,76,
5/1/2020,2,82,21,76,
6/1/2020,0,8,22,70,
7/1/2020,1,38,21,64,
8/1/2020,0,76,21,63,
9/1/2020,0,,25,66,
10/1/2020,0,24,27,59,
